"","name","color","geometry"
"5649147233",NA,"green",c(574236.088594596, 6223092.41795325)
"5658324653","Langenæs Blomster","green",c(573662.834476488, 6222843.99320898)
"5664847873","Trævarefabrikernes Udsalg","green",c(574401.575267562, 6223280.55353725)
"5665591749","Flying Tiger Copenhagen","green",c(574941.996003625, 6224053.37941823)
"5665591750","Plakaten","green",c(575058.533081335, 6224069.43525814)
"5668983951","Aarhus Hovedbibliotek","green",c(575434.367481711, 6223823.85125956)
"5669056218","Bora Bora","green",c(574504.724264806, 6223650.46204173)
"5669056219","Teater Refleksion","green",c(574763.881493983, 6223898.38730368)
"5673240746","Fri BikeShop Aarhus","green",c(574197.894136131, 6223044.71095106)
"5673240748","Netto","green",c(574185.048287457, 6223031.09628507)
"5683217217","Stakbogladen","green",c(574541.704898368, 6225792.07892788)
"5684455343","Müllers Kolonial","green",c(573852.593134329, 6225444.18317143)
"5693686225","Lindberg Optik","green",c(574939.378976448, 6224136.92744813)
"5767481154","Normal","green",c(574946.050356471, 6224090.47697289)
"5902863622","Aarhus BSS Nordøstre hjørne","green",c(574829.414989587, 6225669.44083885)
"5906500229","Steen Steensen Blicher","green",c(573913.266406229, 6224820.92311431)
"5909921706","Grappa Piccolo","green",c(574998.94345471, 6224193.30934173)
"5933998022","Nordea","green",c(570818.101494096, 6216719.42180242)
"5994345256","Fødeafsnit","green",c(572638.531287938, 6228188.57872713)
"6007131307","Bestseller","green",c(575071.9555676, 6224133.83810573)
"6353173454","Rema 1000","green",c(574210.744237882, 6223066.32993877)
"6557805983","Studenternes Hus/Nordre Ringgade","green",c(574510.603005581, 6225766.35592101)
"6574792752","Paludan-Müllers Vej/Vestre Ringgade","green",c(573916.123264952, 6225424.51726885)
"6698132698","A+ Siam Sushi Restaurant","green",c(574873.985923841, 6224041.39183279)
"6699203162","Flame Burger","green",c(574256.62115445, 6223124.33406751)
"6700631846","Bluefin Aarhus Sushi & Gin","green",c(575086.043693551, 6224484.56933573)
"6700631851","Plantecafeen","green",c(574153.034680103, 6223890.56620368)
"6761586994","Fairbar","green",c(574926.991638454, 6224378.40814592)
"6765089494","Bar Habla","green",c(574614.673451765, 6223229.40891549)
"6767686402","Umami Sushi","green",c(574763.083484565, 6223393.54960619)
"6772055741","IKEA Kaffebar","green",c(573273.437005212, 6229374.64746969)
"6796418152",NA,"green",c(574911.620279039, 6224147.89731269)
"6796418393",NA,"green",c(575345.539616508, 6224172.95116205)
"6956069142","Trige Kombi-bibliotek","green",c(571107.660869668, 6234817.87832226)
"7559163380","Frisør P. Noergaard","green",c(575219.760540239, 6225980.52090846)
"7765585784","Salling rooftop","green",c(574969.975886522, 6223936.77748362)
"8220382636",NA,"green",c(575711.548028622, 6226480.29115492)
"8367313481","Tunnelen/Skejbygårdsvej","green",c(574338.806485492, 6228536.89761914)
"8367313483","Tunnelen/Skejbygårdsvej","green",c(574422.158490445, 6228578.39057208)
"8505301161","Plukk","green",c(574150.393147826, 6223888.10475148)
"8563990109",NA,"green",c(572346.800376289, 6227949.16539857)
"8563990114",NA,"green",c(572376.685934254, 6227946.37563671)
"8607905027",NA,"green",c(576087.300844225, 6216636.93873929)
"9038674926",NA,"green",c(575448.001702896, 6225401.39189253)
"9238855455","Dolce Vita","green",c(574287.991805504, 6219828.26426801)
"9251270152","Kvickly Bager","green",c(572326.200988448, 6224026.06779817)
"9276013474","Lagkagehuset","green",c(574756.279324092, 6223239.64715457)
"9350174317",NA,"green",c(575358.779154091, 6224168.01853807)
"9581323122","Imerco Århus Store Torv","green",c(575052.115013939, 6224243.9248012)
"9626384988","SuperBrugsen Lystrup","green",c(576493.385175657, 6233233.00517381)
"9750039534",NA,"green",c(574496.87319838, 6226668.0824845)
"9831255461","Tingagergården","green",c(568620.020007149, 6227317.76438815)
"9958918586","Katrines Kælder","green",c(573961.079821381, 6225863.8561459)
"10095807265",NA,"green",c(570674.607034695, 6217372.49326751)
"10183539217","COS","green",c(575097.091698096, 6224213.6755755)
"10201807748",NA,"green",c(575297.663636449, 6222181.93206276)
"10201836866",NA,"green",c(575427.532782634, 6222253.88208579)
"10201837161",NA,"green",c(575370.07430675, 6222066.87010518)
"10203838854",NA,"green",c(569297.664957433, 6221120.46282034)
"10203838862",NA,"green",c(569248.834902529, 6221149.45236879)
"10218259509",NA,"green",c(574822.218136044, 6223346.456059)
"10233313159","Rema 1000","green",c(569747.204980516, 6227258.85121454)
"10235068900",NA,"green",c(573670.299361506, 6225986.08690773)
"10241028258","Universitetsparken","green",c(574991.81658802, 6225329.47853881)
"10259714524","Lægerne Vennelystparken","green",c(574968.535667747, 6224968.31106618)
"10316517913",NA,"green",c(576709.759284817, 6232436.52999342)
"10703135201","Ingo","green",c(569952.42007619, 6224754.4947249)
"10766585957","Park Allé","green",c(574727.066504572, 6223552.50516929)
"10766585964","Park Allé","green",c(574771.33277527, 6223656.88717226)
"10766585965","Park Allé","green",c(574763.91357654, 6223628.40333422)
"10766585966","Park Allé","green",c(574757.892689624, 6223605.59919815)
"10766702953","Park Allé","green",c(574775.802344374, 6223677.42663531)
"10766702955","Park Allé","green",c(574756.255507092, 6223599.00248365)
"10809122330",NA,"green",c(574135.828730599, 6224294.21978818)
"10943621286",NA,"green",c(574179.949163069, 6223871.98450609)
"10943621287",NA,"green",c(574188.706060363, 6223805.82024727)
"10957841056",NA,"green",c(572583.899192406, 6220875.00845235)
"10959881161",NA,"green",c(573197.830521384, 6224502.54125631)
"10991531119",NA,"green",c(574136.245373162, 6224573.84037512)
"11035651610",NA,"green",c(572285.016741025, 6214204.89190364)
"11038599252",NA,"green",c(574507.745676482, 6225260.20147396)
"11038599255",NA,"green",c(574354.634679661, 6225336.90378387)
"11038599265",NA,"green",c(574488.529819611, 6225259.37737804)
"11038599267",NA,"green",c(573773.486473985, 6225877.32964709)
"11042621431",NA,"green",c(573741.211574998, 6225899.30572751)
"11042621432",NA,"green",c(573777.344670665, 6225872.5535146)
"11042621463",NA,"green",c(574580.014320609, 6225823.64980312)
"11083849838",NA,"green",c(578440.116689791, 6234893.36004243)
"11174226895","Skanderborg Apotek Kridthøj","green",c(574293.812210097, 6219850.57411818)
"11263451077","Akvariet","green",c(573814.38460868, 6225674.33316212)
"11290280157",NA,"green",c(566959.652132763, 6225641.19672131)
"11338132328",NA,"green",c(569253.204357746, 6221128.72821576)
"11835300932",NA,"green",c(573078.762412087, 6223574.96391844)
"11835300933",NA,"green",c(573114.283579126, 6223611.51622618)
"11835300934",NA,"green",c(573101.134063712, 6223593.75842177)
"11835300935",NA,"green",c(573118.652318098, 6223570.33426346)
"60728585",NA,"red",c(573046.842475959, 6218374.77703463)
"100188076","Magenta ApS","red",c(575171.467767245, 6225638.97901579)
"380202309",NA,"red",c(570496.366544052, 6220749.33266635)
"380202310",NA,"red",c(570466.765020692, 6220773.9053635)
"431942819",NA,"red",c(579092.740701008, 6210847.8148607)
"515037672",NA,"red",c(574864.587843649, 6223435.49676204)
"515037673",NA,"red",c(574870.960531246, 6223417.88185215)
"515037720",NA,"red",c(574892.589450576, 6223487.07843487)
"589576648",NA,"red",c(573924.127399191, 6224476.28924291)
"615404687",NA,"red",c(571039.681975169, 6223781.45476092)
"615404688",NA,"red",c(571063.039051316, 6223727.59739799)
"615404699",NA,"red",c(571041.103456805, 6223775.79208338)
"615404700",NA,"red",c(571047.139894313, 6223777.15590079)
"615404701",NA,"red",c(571071.010635081, 6223759.98651366)
"615404702",NA,"red",c(571027.542440097, 6223755.46274784)
"615404703",NA,"red",c(571058.953164955, 6223740.2144662)
"615404704",NA,"red",c(571051.5533914, 6223737.92760803)
"615404706",NA,"red",c(571056.978736011, 6223746.55316424)
"615404707",NA,"red",c(571059.786420536, 6223772.26697908)
"615404708",NA,"red",c(571029.938818248, 6223766.86841982)
"615404726",NA,"red",c(571066.535297358, 6223748.39406654)
"615404755",NA,"red",c(571039.092958489, 6223740.92063526)
"662857313",NA,"red",c(570220.408904629, 6221444.95672316)
"662857329",NA,"red",c(570147.575740186, 6221440.46412767)
"928906334","Balancebanen","red",c(569458.062598857, 6221539.19475006)
"1228737463",NA,"red",c(576382.257808977, 6229396.12167887)
"252517149",NA,"red",c(574120.472332567, 6222926.58119889)
"259476846","7-Eleven","red",c(575003.002311925, 6224268.79187396)
"291592846","7-Eleven","red",c(574410.067394309, 6224315.78430482)
"473574320",NA,"red",c(575452.538983039, 6224971.43315247)
"562704473","Sherlock Holmes Pub","red",c(574737.788057036, 6223854.43752904)
"565434640","Jelshøj","red",c(573488.64802084, 6217583.55351374)
"567053989","Hos Anton","red",c(574503.893130621, 6224216.35457831)
"571126258","Ali Baba Pizza & Grillbar","red",c(574908.209243135, 6224290.74534127)
"571480057","Anettes Sandwich","red",c(573867.153297843, 6222734.58260663)
"654136077","Café Jorden","red",c(575025.058479378, 6224348.5638708)
"654136092","Carlton","red",c(575050.151891871, 6224316.61898249)
"654136097","Ris Ras Filliongongong","red",c(575293.909734469, 6224373.40827963)
"654136104","Café Drudenfuss","red",c(575128.684271271, 6224425.51316104)
"654136109","Café Englen","red",c(575125.385761316, 6224452.06198924)
"654137662","L'estragon","red",c(575104.800402925, 6224438.43109412)
"1116310132","Saichi Sushi","red",c(574684.559519028, 6223232.58555613)
"1116310134","Sct. Pauls Møntvask","red",c(574769.54169167, 6223042.95654067)
"1116310138","Stromboli","red",c(574720.531668203, 6223215.24481365)
"1116310143","Peter Gift","red",c(574749.972095698, 6223275.97366222)
"1232453512","Jyske Bank","red",c(574838.223174051, 6223916.55085995)
"1233003151","Vibholm","red",c(574865.307789342, 6223782.78867279)
"1240047337",NA,"red",c(574875.03713447, 6224387.56352617)
"1297439698","Intersport","red",c(574862.956665927, 6223631.42392885)
"1297439703","Hunkemöller","red",c(575021.39461777, 6224060.73599674)
"1297439727","Georg Jensen","red",c(575024.901275909, 6224035.04795982)
"1389242165","Kiosk 25","red",c(574646.703540431, 6226155.22437449)
"1471145081","Friis cykler","red",c(573972.637605805, 6222688.22074535)
"1472909349","Under Masken","red",c(575157.262232066, 6224291.28892291)
"1488560792","Ziggy Original","red",c(575579.17156903, 6226085.2731294)
"1488563547","Trøjborg Apotek","red",c(575524.813581986, 6225748.70085896)
"1529752190",NA,"red",c(562364.456363362, 6226541.64998179)
"1542324968",NA,"red",c(567832.172681672, 6224384.25012213)
"1567951612","16","red",c(567977.954379879, 6224655.50023584)
"1634477791","Smag Først","red",c(574473.354314513, 6223198.35156534)
"1885339402","Flintstone Pub","red",c(574934.377185119, 6223677.5918383)
"1987802648",NA,"red",c(575035.649304177, 6223584.83818021)
"2104332551","Olinico","red",c(575280.081118831, 6224427.45850056)
"2123630331","Herr Bartels","red",c(575113.469189122, 6224078.99232927)
"2152541993","Vesterbro Kiosk","red",c(574453.955857257, 6224353.90735636)
"2152542005","Sivas døgnkiosk","red",c(575037.262245096, 6224576.49279041)
"2273711692","Pearl India","red",c(575034.357754589, 6223653.98166073)
"2463843228","Let Køb","red",c(573404.737785058, 6221337.65576494)
"2733230772","City Stoffer & Garn","red",c(574775.01533967, 6223637.06885417)
"2733230774","Jagtstuen","red",c(574758.637629695, 6223577.85896892)
"2733230775","MASH Århus","red",c(574759.255855411, 6223536.72418028)
"2971224533","Oishii Sushi","red",c(575059.755973439, 6224600.30965305)
"2971230033","Hjorten","red",c(574402.391622719, 6224337.06982438)
"3056098100","Letkøb","red",c(574711.206798105, 6222916.34297638)
"3252762967","Samler Børsen, Aarhus","red",c(574834.456782733, 6222956.9335216)
"3402662668","Den Hvide Hest","red",c(574449.616259317, 6223216.20744867)
"3402664214","Mefisto Pizza & Bar","red",c(575119.32214377, 6224396.80525386)
"3402664215","Café Århus","red",c(574996.143653758, 6224583.89942585)
"3402665088","Frelsens Hær Genbrug","red",c(575023.571655679, 6224593.08532524)
"3402665442","Haarfein","red",c(574510.458936831, 6223219.491329)
"3402665450","Headoffice","red",c(574582.958360693, 6223205.70137187)
"3402667046","Ren kost","red",c(574522.243109494, 6223220.8094716)
"3402667513","Shawarma Bar","red",c(574985.989567303, 6224347.71284784)
"3402667676","Stribeladen","red",c(574530.046341993, 6223200.90677783)
"3402668690","Viggo","red",c(575037.805643923, 6224156.0280492)
"3782044365","Kowloon","red",c(574678.025733018, 6223481.63823356)
"3798986025","Pizza Love","red",c(574579.984962552, 6226338.34896743)
"3927000044","IM-Genbrug","red",c(574610.943399321, 6224422.69868493)
"3939876531","Ffood","red",c(574461.06323292, 6224356.75833803)
"4081996265","Sandwichen","red",c(572382.979547634, 6221109.30901533)
"4083089997","Det Blå Sted","red",c(574338.624065738, 6223232.64923227)
"4083089999","Gerners Grill","red",c(574226.730396093, 6223043.21756716)
"4083090001","San Mario Pizzaria 1","red",c(573927.655609569, 6222856.01138972)
"4084101678","Tasty","red",c(574329.991436028, 6223180.39974146)
"4084111699","Glad","red",c(574241.991701776, 6223062.31795643)
"4084111702","Kowloon","red",c(574731.949669799, 6223849.32608507)
"4090177950","Dania Tapas og Sandwich","red",c(574454.124999659, 6223414.52107318)
"4126226612","Le Basilic","red",c(575414.701798351, 6224749.58572602)
"4126226613","Olive","red",c(575401.324969851, 6224725.35964204)
"4150773899","Fatter Eskil","red",c(575262.080838043, 6224015.23952667)
"4208676496","Ab Centrum bed w/o breakfast","red",c(573265.414680507, 6230545.95812306)
"4289542378","Orkide Køkken","red",c(581568.193748655, 6237741.53186723)
"4450649263","Frederiksbjerg Pizzeria & Grill","red",c(574162.94927008, 6223015.30656665)
"4506499288","Running Ping","red",c(574776.77496707, 6223884.09556846)
"4577770742","Mig & Ølsnedkeren","red",c(575281.341839942, 6224304.09905807)
"4694355822","Jysk Rejsebureau","red",c(575320.758568493, 6224345.97104985)
"4705262123","Yarnfreak","red",c(574539.184058968, 6222889.88067878)
"4826060506","The Hummus and pita bar","red",c(574636.942447804, 6226127.37880838)
"5012376443","Danhostel Aarhus // Hallo Café","red",c(574999.107200619, 6224102.32639501)
"5117817442","Basso","red",c(575256.945426754, 6224042.31262307)
"5124108023","De fyrretyve røvere","red",c(574389.948483247, 6223263.37474007)
"5161550896",NA,"red",c(574050.750160273, 6228051.27834714)
"5161550897",NA,"red",c(573994.751081435, 6228057.23393044)
"5418045880","Aarhus Brætspilscafé Fredensgade","red",c(575049.459446657, 6223700.6685827)
"5418045884","Faour","red",c(574957.704038937, 6224424.36597718)
"5658324652","Langenæs Kiosken","red",c(573680.772256672, 6222869.90600064)
"5677825669","Laris","red",c(574239.052377724, 6223057.64708699)
"5677825670","Aage Skov Musikhandel","red",c(574266.639900821, 6223135.38404397)
"5678435725","Dancy & Daughters","red",c(574540.57041052, 6223202.14739351)
"5687975554","Aarhus Fishing Gear","red",c(575095.483061821, 6223765.93201924)
"5687975555","Route 66","red",c(575090.386165116, 6223757.5267272)
"5801705536","Kristian F. Møller","red",c(575080.781933058, 6224227.20513663)
"6353182617","Allé Caféen","red",c(574157.453354408, 6223006.81763049)
"6672801349","Toki Sushi","red",c(574675.072398953, 6226089.62543807)
"6682003786","Erlings Jazz- & Ølbar","red",c(575362.009686566, 6224619.71035742)
"6906067566","Eventyrsport Running Store - Racingdenmark","red",c(574796.606465738, 6223934.71595061)
"6939232519","Netgarn","red",c(574571.502472628, 6223465.48912773)
"7560118950","Djurslands Bank","red",c(575360.191916876, 6224578.61051737)
"8155365697",NA,"red",c(574523.430583854, 6224050.73174764)
"8859574868","Open Space Aarhus","red",c(573770.010292986, 6227433.73101694)
"9251576932","Mor Anna","red",c(575265.697478201, 6224292.46901833)
"9834574311","Vaca","red",c(575274.694172488, 6224339.10530883)
"10201729717","Gørtleri","red",c(574753.099972836, 6223255.18826524)
"10203838861",NA,"red",c(569247.889802762, 6221115.9629696)
"10204812536","Bedemand H. J. Madsen","red",c(574415.13262234, 6223212.66957472)
"10204812539","Happy Skiing","red",c(574503.356766598, 6223218.37706785)
"10204827330","Grün Design og Boliginteriør","red",c(574522.661529545, 6223200.67816517)
"10207719246","Sidsel Brix","red",c(574453.527017517, 6223195.34641135)
"10207778310","Hausfrau","red",c(574516.810947913, 6223199.77489796)
"10207778311","Strikkepinden og den lille Zebra","red",c(574508.995327884, 6223199.30503701)
"10226106632","Miss J","red",c(574610.867230772, 6222754.07647519)
"10959647319",NA,"red",c(573015.463148794, 6225603.90515649)
"11005587642",NA,"red",c(578613.812345793, 6209452.29094375)
"11042621450",NA,"red",c(574647.104106623, 6225749.67456474)
"11042621456","Gæsteetage","red",c(574494.63281182, 6225271.31735143)
"11155463101",NA,"red",c(575701.213888939, 6224853.42993883)
"11395042995",NA,"red",c(576382.266960361, 6229396.13414573)
"32963550","Stensagerskolen","orange",c(570637.900828164, 6225228.69004913)
"51264500","Sankt Pauls Kirke","orange",c(574801.126187093, 6222984.56019306)
"51265304","Aarhus Teater","orange",c(575222.531549519, 6224091.28847383)
"597299691",NA,"orange",c(576187.960299682, 6229660.74525531)
"60650929","Børnehuset Safiren","orange",c(567922.03528759, 6224551.32456657)
"87977286",NA,"orange",c(568025.742158625, 6224649.23327156)
"89020995","Blommehaven","orange",c(576740.574341777, 6218968.46489691)
"101193999",NA,"orange",c(573632.89910907, 6224066.00638544)
"110412993","Immanuelskirken","orange",c(574030.497282328, 6223000.2843552)
"142490491","Zleep Hotel Aarhus","orange",c(572219.757714682, 6221083.90175518)
"143766187","Den Gamle By","orange",c(574017.918658343, 6224413.88970129)
"143821044","Aarhus HF & VUC","orange",c(574305.268428879, 6222744.12711267)
"231427421",NA,"orange",c(574725.366299763, 6223696.52696819)
"254079854","Aarhus Domkirke","orange",c(575196.561864384, 6224200.71553795)
"318242157",NA,"orange",c(573867.224418541, 6223095.69963488)
"435868744",NA,"orange",c(563262.250529978, 6220764.29753602)
"473956287","Foreningernes Hus","orange",c(570722.027751329, 6224713.94185884)
"5177284961",NA,"orange",c(576202.222767168, 6229656.14826283)
"530861188","Pølse Biksen","orange",c(573925.721646521, 6222673.5067979)
"564270772","Tranbjerg kro","orange",c(570712.348243605, 6217295.375436)
"593672635","Riis Skov","orange",c(575904.417114235, 6225921.60519946)
"635792101","KØN","orange",c(575242.812768679, 6224237.3196171)
"998752616","Aarhus Street Food","orange",c(575135.88800819, 6223590.03563637)
"1009083733","Vor Frue Kirke","orange",c(574842.853468843, 6224325.516578)
"1012548871",NA,"orange",c(574733.303216518, 6223725.88449935)
"1012548872",NA,"orange",c(574759.134743065, 6223703.34273549)
"1012548873",NA,"orange",c(574698.880659412, 6223719.23106174)
"1093247495",NA,"orange",c(574782.900525238, 6228446.93656995)
"1163356037","Hundepladsen","orange",c(573019.139128653, 6218298.64536589)
"292893889","OK - Sabro","orange",c(564343.505967702, 6229696.01047707)
"442497830","Øst for Paradis","orange",c(575113.282931296, 6224562.65153519)
"442497989","Metropol","orange",c(575492.899767856, 6225716.48825127)
"502652542","Tranbjerg pizza","orange",c(570580.206033656, 6217052.54069917)
"502696213","Trane Pizza","orange",c(570684.621558916, 6217304.29591856)
"565467526","Jerrys Pizza","orange",c(574476.338065344, 6226004.21758382)
"582970524","Forlæns Og Baglæns","orange",c(574437.620422198, 6223214.55185709)
"632467141","Dee Dee's sandwiches","orange",c(574805.512862987, 6223516.00125371)
"646730049","Radisson Blu Scandinavia Hotel Aarhus","orange",c(574382.516472694, 6223678.63026783)
"654129920","Jensen's Bøfhus Aarhus","orange",c(574914.241964006, 6223661.06428082)
"654137664","Café Casablanca","orange",c(575238.783350792, 6224286.12942304)
"679682774","Pub'en","orange",c(574596.843881851, 6223206.61099178)
"681349349","Banegårdspladsen","orange",c(574730.719318443, 6223452.78865216)
"817922509","Juridisk Bogformidling","orange",c(574651.891992938, 6225756.47092748)
"828079226","A Hereford Beefstouw","orange",c(575160.165053572, 6224105.2824088)
"1116310142","Le Bistrot 65","orange",c(574605.991559234, 6223226.2297422)
"1233003160","ONLY","orange",c(574901.819633312, 6223846.32525729)
"1233003162","Paw Sko","orange",c(574904.952271922, 6223814.63020244)
"1297439719","Faraos Cigarer","orange",c(574873.265701611, 6223730.9613465)
"1297439774","Gina Tricot","orange",c(574921.627029713, 6223847.43970224)
"1319881110","Fri BikeShop","orange",c(574197.619817255, 6223005.27518904)
"1319906957","Friis Cykler","orange",c(573993.336803691, 6225537.1417509)
"1471184447","MM Cykelværksted","orange",c(575291.01485983, 6224469.5422923)
"1488554415","365discount","orange",c(575534.011885999, 6226027.85600107)
"1488566608","Dolce Vita","orange",c(575552.258823505, 6226092.19014893)
"1573825100","Go´ Kaffe","orange",c(574456.276237892, 6222837.11913436)
"1893378536","Radar","orange",c(574176.174765353, 6223765.9161904)
"2511407225","Løve’s Bog og VinCafe","orange",c(575108.291373029, 6224638.99976856)
"2776455708","TÅGEKAMMERET","orange",c(574517.21907607, 6225253.70907938)
"2839209301","Café Vestergade","orange",c(574701.595908837, 6224278.44315324)
"2971243190","Stiller's Coffee","orange",c(574947.983745706, 6224435.59557308)
"3402663467","Birthe Glerup","orange",c(574597.937277531, 6223227.69260822)
"3402664233","Cross Cafe","orange",c(574984.853834098, 6224199.6308793)
"3402667004","Camilla Haug","orange",c(574456.552182032, 6223216.16095879)
"3402669011","Ziggy Sidewalk","orange",c(575022.645820891, 6224170.23478924)
"3402669037","Butik 1000 Ting","orange",c(574445.052325744, 6223192.75005505)
"3760236263","Rostrupkisten","orange",c(576595.717608216, 6216307.19229037)
"3760236264","Kobberupkisten","orange",c(576608.755990225, 6216271.68961405)
"4084101683","Ricks","orange",c(574368.977568268, 6223279.37544257)
"4084101684","La Trattoria Cafe","orange",c(574252.849714213, 6223118.91402946)
"4084111705","Die Kleine Bierstube","orange",c(574767.950739404, 6223876.33809962)
"4090177949","Al Meza","orange",c(574485.139955998, 6223410.17290565)
"4398357562","Cafe Hack","orange",c(575224.234187476, 6224117.6395519)
"4839953435","Restaurant Ombord","orange",c(574639.176921185, 6223227.94309004)
"5033267336","Kongsvang","orange",c(572976.377960073, 6221767.74439025)
"5051758681","Torsøvej","orange",c(576208.943242811, 6229628.39762263)
"5549097623","Aart de Vos","orange",c(574933.903148744, 6224474.47994308)
"5674366933","Frisør Marquart & Søby","orange",c(573899.04176621, 6222768.48491166)
"5674591971","Vingummi","orange",c(575119.662768432, 6224622.53381445)
"5684455342","Frisør Daniel","orange",c(573703.180884605, 6225213.60590382)
"5693618732","Pragh","orange",c(575060.491287319, 6224579.97233068)
"6767686406","China Wok House","orange",c(574992.693471494, 6224196.13891076)
"7202059096","Tir Na Nóg","orange",c(574846.960370094, 6224009.30339401)
"7940746468","Frisør Nineve","orange",c(573816.028908152, 6225403.83223418)
"10868978491","KFT Jylland","orange",c(572150.172776207, 6225371.96876897)
"11001952959",NA,"orange",c(568554.371733226, 6223558.36931215)
