"","name","color","geometry"
"503539989","Vilhelmsborg","green",c(573350.887414195, 6213867.31886256)
"508585493","ingo","green",c(572486.782866091, 6223438.12870748)
"510335886","Olof Palmes Allé","green",c(573475.691842432, 6227822.23767904)
"510335891",NA,"green",c(574069.112898453, 6227476.76968358)
"510335892","Stockholmsgade","green",c(574497.588824385, 6226621.42858853)
"510335893","Stockholmsgade","green",c(574518.636803387, 6226538.21148047)
"510335894",NA,"green",c(574701.875474416, 6226079.82880813)
"510335895","Aarhus Universitet (Ringgaden)","green",c(574807.518319146, 6225788.91170452)
"510335896","Aarhus Universitet (Ringgaden)","green",c(574778.768711977, 6225892.10806972)
"510335901","Universitetsparken","green",c(574991.879070415, 6225329.75949978)
"510335903","Skolebakken","green",c(575355.666419017, 6224232.86775009)
"510335906","Nørreport","green",c(575245.251042263, 6224725.46459738)
"510624245","Vandtårnet (Ringvejen)","green",c(574302.539017769, 6227097.3019091)
"510624252","Vandtårnet (Ringvejen)","green",c(574334.755728291, 6226987.29944643)
"514081446",NA,"green",c(572513.875015284, 6228688.51326123)
"514081447",NA,"green",c(572510.797500868, 6228679.51223548)
"514081448","Humlehuse","green",c(572357.557585625, 6229331.16941335)
"514081449","Humlehuse","green",c(572348.117555622, 6229332.02506665)
"514081450","Klokhøjen","green",c(572185.907158575, 6230324.70891474)
"514081451","Klokhøjen","green",c(572176.49994666, 6230324.10499338)
"514081452",NA,"green",c(571751.390481066, 6230954.88503507)
"514213592",NA,"green",c(572808.569760883, 6231122.29372901)
"514213593",NA,"green",c(572804.882726671, 6231131.45496555)
"514213594",NA,"green",c(572229.460452345, 6230804.69160675)
"514213599",NA,"green",c(574436.810336235, 6232024.37787857)
"514213600",NA,"green",c(574441.883409833, 6232015.99994209)
"514859292","Dokk1","green",c(575356.911714231, 6223883.74500511)
"514859293","Dokk1","green",c(575347.494464141, 6223880.61375002)
"515368171",NA,"green",c(574613.302731148, 6213079.44505602)
"515368172",NA,"green",c(573464.873486447, 6213804.48153775)
"515368177",NA,"green",c(571860.052751264, 6214770.68845106)
"515368178",NA,"green",c(571854.949292635, 6214768.27494556)
"517221598",NA,"green",c(575293.815547309, 6221072.44024549)
"517728496",NA,"green",c(576202.222767168, 6229656.14826283)
"517728507",NA,"green",c(576733.381180394, 6228486.36024591)
"540068352",NA,"green",c(575781.868882263, 6225261.1098868)
"563850106","Det Gyldne Brød","green",c(576364.007174867, 6232520.50198362)
"564175989",NA,"green",c(576518.247653468, 6232442.15990285)
"566686170","F24","green",c(581405.072166635, 6237451.24823188)
"593014040",NA,"green",c(574490.748712896, 6224339.54345715)
"635792100","Besættelsesmuseet","green",c(575246.146752698, 6224258.06972387)
"661096587",NA,"green",c(575456.432791901, 6220979.05388813)
"845989100",NA,"green",c(576777.884672584, 6227278.26841309)
"903155610","Storcenter Nord","green",c(573794.500725199, 6225685.64065041)
"967856929",NA,"green",c(570937.467039609, 6222512.68943796)
"1007190677",NA,"green",c(574953.767736449, 6223997.62906595)
"1012548867",NA,"green",c(574720.707719465, 6223628.62042543)
"1012548868",NA,"green",c(574715.314078907, 6223629.87623073)
"1012548869",NA,"green",c(574741.252636462, 6223708.35655913)
"1012548870",NA,"green",c(574728.883388121, 6223711.274683)
"1012548874",NA,"green",c(574734.872092864, 6223663.71420347)
"1012548875",NA,"green",c(574725.510658556, 6223666.12367376)
"1012548876",NA,"green",c(574730.089604476, 6223664.951517)
"1012548877",NA,"green",c(574726.151342539, 6223627.11211434)
"1012548878",NA,"green",c(574739.658369979, 6223701.40977315)
"1012548879",NA,"green",c(574722.143645664, 6223667.0905976)
"1034982095","Agnete og Havmanden","green",c(574726.900176785, 6223586.45070158)
"1180734343",NA,"green",c(572631.958952954, 6224017.76207642)
"1185583857","H&M","green",c(573747.939960854, 6225731.35150861)
"1185583858","Eurosko","green",c(573753.331239532, 6225753.54344842)
"1185583859","Imerco","green",c(573758.544575973, 6225777.0216354)
"1185594880","H&M","green",c(573737.03416329, 6225680.83352991)
"1185594881","Mister Minit","green",c(573783.429011656, 6225804.27158529)
"1185602008","Føtex","green",c(573812.579600113, 6225743.99780918)
"1185602009","føtex Bager","green",c(573762.728716905, 6225720.31519428)
