"","density","ratio","average_distance"
"Aarhus",4.80606197363554e-13,58.3979328165375,219.533652472415
"Berlin",1.49999991137571e-11,46.3494382413301,48.9889878448259
"Bremen",7.17800480818291e-12,58.4458077709611,57.4533098827951
"København",9.52207577119739e-12,33.4516765285996,70.5554605388833
"Hamburg",1.02632787895426e-11,58.9488525103783,63.9272230970752
"Aarhus C",3.45692896993947e-12,53.0035335689046,61.3657318683198
